year,All insti-tutions,4-year,2-year,All insti-tutions,4-year,2-year,All insti-tutions,4-year,2-year,All insti-tutions,4-year,2-year,All insti-tutions,4-year,2-year,All insti-tutions,4-year,2-year,All insti-tutions,4-year,2-year,All insti-tutions,4-year,2-year
    2011-12 ,"26,564","26,508","27,158","15,901","15,856","16,124","6,427","6,419","6,507","4,236","4,233","4,527","22,972","22,923","23,486","13,751","13,712","13,944","5,558","5,551","5,627","3,663","3,660","3,915"
    2012-13 ,"26,349","26,262","27,317","15,663","15,573","16,165","6,529","6,537","6,449","4,157","4,152","4,703","23,165","23,088","24,016","13,770","13,691","14,212","5,740","5,747","5,669","3,655","3,651","4,135"
    2013-14 ,"25,912","25,811","27,266","15,443","15,359","15,899","6,500","6,490","6,597","3,969","3,962","4,771","23,137","23,047","24,346","13,789","13,714","14,196","5,803","5,795","5,891","3,544","3,538","4,260"
    2014-15 ,"25,987","25,880","28,496","15,534","15,482","15,850","6,444","6,446","6,426","4,009","3,952","6,220","23,373","23,277","25,629","13,972","13,924","14,256","5,796","5,798","5,780","3,605","3,554","5,594"
    2015-16 ,"26,260","26,199","26,849","15,675","15,628","15,989","6,460","6,451","6,547","4,125","4,120","4,313","23,777","23,722","24,310","14,193","14,150","14,477","5,849","5,842","5,928","3,735","3,731","3,905"
    2016-17 ,"27,579","27,688","27,140","15,637","15,641","15,615","7,470","7,587","6,819","4,471","4,460","4,707","25,431","25,531","25,027","14,419","14,423","14,399","6,889","6,996","6,288","4,123","4,113","4,340"
    2017-18 ,"27,843","28,002","26,583","15,557","15,566","15,490","7,708","7,860","6,472","4,578","4,576","4,621","26,253","26,404","25,065","14,669","14,677","14,606","7,268","7,411","6,102","4,317","4,315","4,357"
    2018-19 ,"28,096","27,611","31,219","15,356","15,289","15,963","7,397","7,700","5,503","5,343","4,622","9,753","27,041","26,574","30,046","14,780","14,715","15,363","7,119","7,411","5,296","5,142","4,448","9,387"
    2019-20 ,"28,196","28,334","25,546","15,337","15,302","15,692","7,592","7,732","5,434","5,266","5,300","4,419","27,561","27,697","24,971","14,992","14,957","15,339","7,421","7,558","5,312","5,148","5,181","4,320"
    2020-21,"27,470","27,723","23,599","15,407","15,442","15,080","7,166","7,367","4,039","4,896","4,913","4,480","27,470","27,723","23,599","15,407","15,442","15,080","7,166","7,367","4,039","4,896","4,913","4,480"
"\1\Constant dollars based on the Consumer Price Index, prepared by the Bureau of Labor Statistics, U.S. Department of Labor, adjusted to an academic-year basis.",,,,,,,,,,,,,,,,,,,,,,,,
"\2\For public institutions, in-district tuition and required fees are used.",,,,,,,,,,,,,,,,,,,,,,,,
\3\Not all institutions offer on-campus accommodations. On-campus estimates include weighted averages of room and board and other costs only for institutions that report these costs.,,,,,,,,,,,,,,,,,,,,,,,,
"\4\Data for 1986-87 and later years reflect a basis of 20 meals per week, while data for earlier years are for meals served 7 days a week (the number of meals per day was not specified). Because of this revision in data collection and tabulation procedures, data are not entirely comparable with figures for previous years. In particular, data on board rates are somewhat higher than in earlier years because they reflect the basis of 20 meals per week rather than meals served 7 days a week. Since many institutions serve fewer than 3 meals each day, the 1986-87 and later data reflect a more accurate accounting of total board costs. ",,,,,,,,,,,,,,,,,,,,,,,,
\5\Room and board data are estimated.    ,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE: Data in this table represent the 50 states and the District of Columbia. Data are for the entire academic year as defined by the institution and are average charges for full-time students. Tuition and fees were weighted by the number of full-time-equivalent undergraduates, but were not adjusted to reflect student residency. Room and board are based on full-time undergraduate students. Data through 1995-96 are for institutions of higher education, while later data are for degree-granting institutions. Degree-granting institutions grant associate’s or higher degrees and participate in Title IV federal financial aid programs. The degree-granting classification is very similar to the earlier higher education classification, but it includes more 2-year colleges and excludes a few higher education institutions that did not grant degrees. Some data have been revised from previously published figures. Detail may not sum to totals because of rounding.",,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Projections of Education Statistics to 1986-87; Higher Education General Information Survey (HEGIS), ""Institutional Characteristics of Colleges and Universities"" surveys, 1969-70 through 1985-86; ""Fall Enrollment in Institutions of Higher Education"" surveys, 1963 through 1985; Integrated Postsecondary Education Data System (IPEDS), ""Fall Enrollment Survey"" (IPEDS-EF:86-99) and ""Institutional Characteristics Survey"" (IPEDS-IC:86-99); IPEDS Spring 2001 through Spring 2021, Fall Enrollment component; and IPEDS Fall 2000 through Fall 2020, Institutional Characteristics component. (This table was prepared January 2022.)",,,,,,,,,,,,,,,,,,,,,,,,
